,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
20,peace,truth,order,persia,curiosity,frequently,equal,mysterious,time,north,important,basil,father,grandson,new,character,rome,roman,involved,desert,jurisprudence,numerous,miles,military,days,subjects,peace,east,new,empire,long,death,petrarch,daughter,human,subject,saxons,galerius,salerno,contempt,egypt,jovian,st,prophet,head,character,persia,daughter,council,goths,knowledge,royal,city,vatican,treaty,victories,conquest,time,victory,amrou,purple,new,subjects,west,nobles,person,soon,numerous,barons,large,coast,temple,ambition,service,courage
21,industry,pious,history,field,holy,ancient,boethius,christians,use,greeks,enemy,private,distinguished,messina,trebizond,stilicho,free,hands,enthusiasm,long,sense,trade,merit,shall,precious,italy,justice,soil,royal,sovereign,army,obtain,death,life,days,gradually,great,arms,arms,persisted,distance,state,throne,christian,honour,fortune,years,guilt,general,country,carthage,charlemagne,branch,times,public,soldiers,value,count,merit,jacobites,virtue,admitted,policy,son,years,byzantine,feeble,lost,restored,personal,distinct,ancient,peace,theodoric,arms
22,genius,gods,persia,day,opinion,treason,time,moses,happiness,conquest,lost,long,capitol,reign,religion,nature,various,cross,life,people,empire,enjoyed,christian,world,measure,alaric,seven,parthian,holy,tribute,said,journey,urban,coast,passions,religious,legions,spirit,throne,promised,faith,hands,blood,faithful,faction,age,senate,government,danger,caliph,present,second,private,statue,nations,gold,authority,defence,mankind,east,rome,countries,new,life,damascus,led,clovis,germans,rienzi,royal,germany,rome,violence,ravenna,state
23,years,catholics,theodosius,tigris,virtues,extorted,pride,earth,laws,walls,nobles,present,gauls,king,head,far,cardinals,years,successors,time,laws,century,religion,age,god,amalasontha,emperor,observed,constantinople,rank,years,vessels,profane,years,belisarius,commodus,eyes,enemies,apulia,subject,asia,away,successively,egypt,purple,thousand,long,authority,war,soon,peculiar,popes,slain,leo,camp,valerian,life,disposition,justinian,native,throne,senate,years,country,freedom,conqueror,reign,empire,left,progress,large,shall,public,soldiers,safety
24,army,years,country,cavalry,successor,native,public,spiritual,public,vessels,live,general,arles,reason,prophet,nations,people,kingdom,honour,empire,soon,greek,gold,public,reign,country,reproach,mankind,arms,officers,enemies,poverty,camp,public,years,formed,religion,long,sovereign,legions,remote,prudence,private,cities,bishop,penance,diffused,private,dioscorus,sea,pride,city,country,profane,theodoric,king,aurelian,generous,conqueror,children,authority,formed,cities,subjects,government,prince,ignorant,mutual,seven,days,st,people,title,vandals,years
25,nations,superstition,peace,military,slave,hannibal,contempt,koran,man,capital,natural,ormusd,france,rome,thousand,master,gold,long,years,conquest,common,porphyry,work,religion,east,st,suspicion,provinces,spirit,arts,god,churches,senators,latins,mind,monarch,truth,lombards,power,bulgaria,great,circumstances,house,baths,constantinople,theophilus,son,age,greeks,people,mankind,clergy,emperors,sacred,people,gratitude,rome,brother,persia,subjects,merit,power,time,peace,labour,favourite,zeal,progress,europe,numerous,reign,provinces,brother,rome,justice
26,king,churches,person,soon,contempt,st,human,man,merit,roman,successful,conquest,country,constantine,soon,new,according,arms,turks,military,civilians,clergy,peace,nature,mahomet,cities,sword,goths,normandy,dignity,age,ruric,years,empire,christians,ardaric,soon,exposed,country,abounded,enriched,nero,command,public,blues,military,tacitus,theodosius,zeal,power,habits,years,liberal,st,ostrogoths,hill,soon,hands,discovered,reign,public,deserved,state,people,life,king,cause,age,conquest,age,general,till,new,valour,ambition
27,roman,spiritual,war,sapor,enemies,comparison,day,new,philosopher,province,egypt,danube,julian,andronicus,emperor,provinces,china,restored,augustus,east,throne,insect,times,virtues,justinian,tyrant,gold,captive,mountains,pride,soldiers,penance,st,republic,artful,exposed,germany,soon,timour,homer,india,war,rienzi,mahomet,till,provinces,state,rank,christ,archbishop,gold,east,assembly,public,banks,gothic,constantinople,years,respected,age,marcus,attempted,successors,british,guilt,capital,brother,revenge,century,food,filled,illustrious,empire,victory,law
28,native,emperor,europe,east,years,church,great,religious,private,new,memorable,voluntary,dioceses,country,christians,long,nuptials,lombards,public,sea,public,monopoly,victorious,allowed,desert,athens,time,great,lance,maxentius,general,severus,edessa,photius,arts,use,danube,britons,right,german,soil,italy,head,obeidah,condition,justice,ancient,prince,faith,days,imperfections,italy,palace,church,subjects,just,peace,isaac,eyes,number,soon,mutual,public,theodosius,roman,death,phocas,strong,world,degree,sea,triumph,age,camp,ample
29,long,public,pride,persians,city,galerius,civilised,creed,virtue,rome,romans,state,barbarians,life,years,deity,chinese,people,great,arms,years,worm,character,laws,life,hand,character,dangerous,greeks,simplicity,soon,baldwin,ancient,monks,place,soon,age,passions,city,power,age,valerian,character,moslems,place,laws,alexander,palace,people,holy,temple,princes,years,christian,rome,peasant,dangerous,great,imperial,persia,years,rest,emperors,arms,civil,eutropius,royal,pope,capitol,maogamalcha,thousand,war,life,emperor,church
30,tribes,people,jurisprudence,king,king,considerable,nature,heaven,plato,ancient,thibaut,allegiance,visigoths,age,father,society,zingis,syria,authority,years,master,especially,country,people,emperor,strength,empire,long,acre,happiness,faithful,visit,church,religious,military,scandinavian,years,merit,mustapha,galerius,years,seventy,use,monuments,daughter,contempt,princes,civil,bishops,thousand,fraud,king,reign,secret,italy,thousand,people,country,head,edessa,constantine,rome,republic,gaul,use,christians,ambassadors,years,romans,luxury,skill,huns,princes,cavalry,procopius
31,use,episcopal,romans,valour,want,syria,rome,gospel,genius,nations,st,nature,rome,italy,huniades,civil,blood,emperor,mind,inhabitants,light,pilgrims,superstition,provinces,property,totila,conduct,city,godfrey,praetorian,head,baptism,pillar,soon,world,germany,provinces,revenge,age,bards,far,aquileia,favour,palace,erected,head,petrarch,justice,patriarch,images,isaurians,french,throne,avarice,fritigern,republic,manners,danger,history,franks,roman,arms,peace,civil,capital,feeble,served,duke,fall,empire,thirty,reign,peter,gaul,personal
32,europe,athanasius,rome,march,eyes,alboin,scots,visible,julian,soon,pride,death,nobles,title,phranza,general,piety,aleppo,mount,nature,vandals,sepulchre,tiridates,merit,saracens,fleet,received,roman,richard,general,troops,river,return,arms,sovereign,human,head,general,death,glory,east,degree,honours,chief,reign,place,families,rome,palace,god,rienzi,byzantine,maximin,roman,romans,senate,province,life,marked,new,dignity,europe,jurisdiction,military,revived,victory,mind,maurice,turks,military,paris,power,cardinals,thousand,customs
33,life,catholic,law,camp,palace,till,wild,law,reason,provinces,new,dominion,britain,emperor,youth,throne,augustus,replied,soon,thirty,death,holy,power,martyrs,sterling,years,place,command,robert,office,holy,baltic,sixth,ecclesiastical,army,body,barbarians,barbarians,thirty,russia,splendour,army,death,gold,heraclius,public,republic,power,cyprian,arms,innocence,peter,rosamond,superstition,soon,minister,egypt,conduct,reign,christian,augustus,till,authority,spirit,romans,persians,arians,fear,emperor,place,provinces,constantine,romans,battle,ye
34,empire,constantine,merit,chosroes,roman,god,arts,prophet,character,war,gothic,human,st,imperial,empire,people,character,country,zeal,reduced,nature,fine,constantinople,state,state,euxine,important,large,second,finances,day,moscow,bishop,synods,prince,great,laws,roman,princes,russian,city,house,enemy,companions,italy,years,public,soon,chalcedon,second,age,holy,second,longer,sarmatians,serena,arms,alexius,emperor,nile,death,obliged,barbarians,soldiers,king,reign,eudoxia,horse,mogul,assyria,constantinople,age,john,barbarian,establishment
35,state,orthodox,long,soldiers,arms,superstition,private,world,gods,land,domestic,tartars,sidonius,world,greeks,city,profane,alboin,light,defence,africa,italy,varangians,great,revenue,foot,imperial,belisarius,life,subjects,son,capital,power,people,time,life,long,severus,greeks,army,christians,walls,rome,capital,ricimer,service,world,throne,ephesus,pope,contempt,west,revenge,people,peace,empire,empire,death,present,religion,trajan,honour,citizens,maximus,noureddin,alexandria,violated,ancient,khan,daily,sword,celebrated,st,enemy,times
36,homer,christianity,barbarians,general,constantinople,years,use,nature,knowledge,europe,attila,nations,tribute,apulia,janizaries,great,citizens,prince,spirit,state,use,colours,roman,reason,religion,roman,theodosius,luxury,england,roman,till,discipline,long,malabar,knowledge,age,italy,armorica,duke,empire,pounds,peace,people,ancient,alexius,leo,friends,years,monasteries,tarik,laws,france,army,relics,gothic,probus,laws,public,julia,years,age,burgundians,magistrates,public,private,lombards,valens,manners,french,julian,ice,city,war,military,franks
